Company,Position,Status,Recruitment System,Location,Note,Date Applied,Pay,Job ID,Took Behavior Assessment,Took Technical Assessment,
Discover Financial Services,2025 Data & Analytics Graduate Internship Program,Rejected,"Ripplematch, Workday","Riverwoods, IL",,1/3/2025,,R43563,FALSE,FALSE,
TikTok,Data Science Graduate (TikTok-Product-Data Science) - 2025 Start (MS),Applied,company website,"San Jose, CA","2nd/last application under ""2025 Start""",1/3/2025,,A66080,FALSE,FALSE,
Rivian,"Software Engineering Intern - Data Science, Product Quality",Applied,iCIMS,"Palo Alto, CA",,1/3/2025,,2024-19982,FALSE,FALSE,
Visa,Data Scientist,Rejected,LinkedIn Easy Apply,"Washington, DC",,1/3/2025,,,FALSE,FALSE,
Stripe,"Data Analyst, New Grad ",Applied,company website,"Chicago, IL",,1/3/2025,,,FALSE,FALSE,
LabCorp,Graduate Data Science Intern,Applied,Workday,"Durham, NC",,1/3/2025,,2439855,FALSE,FALSE,
Fidelity,Associate Data Scientist,Rejected,Workday,"Boston, MA",,1/3/2025,,2101030,FALSE,FALSE,
Duolingo,Data Scientist,Rejected,company website,"Pittsburg, PA; New York, NY",Separate application for diff location,1/3/2025,,,FALSE,FALSE,
Bath & Body Works,"Analyst, Data Science",Applied,Taleo,"Columbus, OH",,1/3/2025,,04HKM,FALSE,FALSE,
Pacsun,IT Data Science Intern - Summer 2025 ,Applied,Ultipro,"Anaheim, CA",,1/3/2025,,ITDAT004855,FALSE,FALSE,
The Real Real,Analytics Engineer Intern - Summer 2025,Rejected,?,"Perth Amboy, NJ; New York, NY; San Francisco, CA",,1/3/2025,,R10091,FALSE,FALSE,
"Activision Blizzard, King",2025 US Summer Internship - Data Analytics & Data Science,Rejected,Workday,"Sherman Oaks, CA; San Francisco, CA; Santa Monica, CA; Irvine, CA",,1/3/2025,,R024240,FALSE,FALSE,
IBM,Data Analyst intern Summer 2025 ,Rejected,Brass Ring,"Austin, TX; Tucson, AZ",,1/3/2025,,742684BR,FALSE,FALSE,
Carter's,"Marketing Data Analytics Intern, Summer 2025",Applied,Workday,"Atlanta, GA",,1/3/2025,,JR34979,FALSE,FALSE,
CCC Intelligent Solutions,Data Science Engineer Internship Summer 2025,Applied,Workday,"Chicago, IL",,1/3/2025,,0013420,FALSE,FALSE,
Netflix,"Data Visualization Engineer Intern, Summer 2025",Applied,company website,"Los Angeles, CA; Los Gatos, CA",,1/3/2025,,JR30379,FALSE,FALSE,
Jellyfish,"Data Science Co-op, July 2025",Applied,company website,Remote,,1/3/2025,,,FALSE,FALSE,
NVIDIA,NVIDIA 2025 Internships: Artificial Intelligence and Deep Learning,Rejected,Workday,"Santa Clara, CA; Remote",,1/3/2025,,JR1986536,FALSE,FALSE,
Adobe,2025 Intern - Data Scientist,Rejected,Workday,"San Jose, CA; Seattle, WA; San Francisco, CA",,1/3/2025,,R149631,FALSE,FALSE,
Epic,Software Engineer ,Rejected,Avature,"Madison, WI",,1/3/2025,,,FALSE,FALSE,
Tesla,"Internship, Data Analyst, Supply Chain (Summer 2025)",Applied,company website,"Fremont, CA; Lathrop, CA; Palo Alto, CA; Austin, TX",,1/4/2025,,232260,FALSE,FALSE,
DoorDash,"Machine Learning Intern (Masters/PhD), Summer 2025",Applied,LinkedIn Easy Apply,"New York, NY",,1/5/2025,,,FALSE,FALSE,
Apex Fintech Solutions,2025 AFS Business Internship Program – Hybrid,Rejected,Ripplematch,"Austin, TX; Chicago, IL; Portland, OR; New York City, NY; Dallas, TX",,1/5/2025,,,FALSE,FALSE,
CVS Health,Pharmacy Growth and Innovation Graduate Internship - Summer 2025,Applied,Ripplematch,"Woonsocket, RI",,1/9/2025,,,FALSE,FALSE,
Snap,"Machine Learning Engineering Intern, Research",Applied,Ripplematch,"Bellevue, WA; Santa Monica, CA",,1/14/2025,,H224MLEI,FALSE,FALSE,
Coca-Cola,Summer Data Scientist Intern,Rejected,Workday,"Atlanta, GA",,1/16/2025,,R-116569,FALSE,FALSE,
Atlassian,Junior Data Scientist,Applied,iCIMS,"San Francisco, CA",,1/16/2025,,2025-0157,FALSE,FALSE,
Verint,"Intern, Data Analyst/Scientist",Applied,Oracle,Remote,,1/16/2025,,3083,FALSE,FALSE,
Twitch,Data Science Intern (MA/PhD),Rejected,greenhouse,"San Francisco, CA",,1/16/2025,,TW8656,FALSE,FALSE,
Niantic,Data Science Intern - Summer 2025,Rejected,Ripplematch,"San Francisco, CA; Sunnyvale, CA",,1/18/2025,,,FALSE,FALSE,
Zello,Data Science Intern,Rejected,Ashby,"Austin, TX",,1/18/2025,,,FALSE,FALSE,
Spotify,2025 Summer Internship Product & Technology,Rejected,lever.co,"New York, NY",,1/23/2025,,,FALSE,FALSE,
American Airlines,"Intern, Operations Performance and Analytics",Rejected,Success Factors,"Fort Worth, TX",,1/23/2025,,77096,FALSE,FALSE,why did it need my SSN
PMG,Data & Analytics Summer Intern,Rejected,greenhouse,"Dallas, TX",,1/24/2025,,,FALSE,FALSE,
Austin Board of Realtors,Intern (Data and Research Analytics),Applied,Handshake,"Austin, TX",,1/24/2025,,,FALSE,FALSE,
Visa,"Data Engineer, Intern - Summer 2025",Applied,Ripplematch,"Foster City, CA",,2/6/2025,,,FALSE,FALSE,
eBay,Data Science - Analytics Intern,Rejected,Ripplematch,"San Jose, CA",,2/6/2025,,,FALSE,FALSE,
Pinterest,IT Data Engineer Intern (USA),Rejected,greenhouse,Remote,,2/10/2025,,,FALSE,FALSE,
Whatnot,Summer 2025 Data Science Intern - US & Canada,Rejected,greenhouse,Remote,,2/10/2025,,,FALSE,FALSE,
Coalition,"Data Internship, AI/ML and Data Engineering",Applied,greenhouse,Remote,,2/10/2025,,,FALSE,FALSE,
Apptronik,Software Engineer Autonomy - Intern 2025,Applied,greenhouse,"Austin, TX",,2/10/2025,,,FALSE,FALSE,
MyFitnessPal,Machine Learning Intern - Summer 2025,Rejected,greenhouse,Remote,,2/10/2025,,,FALSE,FALSE,
GSD&M,Summer 2025 - Analytics Intern,Rejected,ADP,"Austin, TX",,2/10/2025,,25-4027,FALSE,FALSE,
"Mercedes-Benz Research & Development North America, Inc.",Machine Learning Intern,Rejected,LinkedIn Easy Apply,"Sunnyvale, CA",,2/10/2025,,,FALSE,FALSE,
UT System ,Data Analytics Intern,Rejected,Qualtrics from,"Austin, TX",,2/10/2025,,,FALSE,FALSE,
HEB,Internship - Planning & Analysis,Rejected,iCIMS,San Antonio,,2/10/2025,,2024-133049,TRUE,TRUE,
Apple,RCC Platforms Performance Data Scientist,Applied,company website,"Austin, TX",,2/11/2025,,,FALSE,FALSE,
Warner Bros. Discovery,Research & Analytics Internships: NYC - Summer 2025,Rejected,Workday,"New York, NY",,2/11/2025,,R000089617,FALSE,FALSE,
Q2,Software Engineer,Applied,Workday,"Austin, TX",,2/16/2025,,REQ-11014,FALSE,FALSE,
Databricks,Data Scientist - New Grad (2025 Start),Rejected,greenhouse,"Mountain View, California",,2/16/2025,,P-978,FALSE,FALSE,
Workiva,2025 Summer Intern - Business Analytics,Rejected,Workday,Remote,,2/16/2025,,R9900,FALSE,FALSE,
Indeed,"Software Engineer I, Data Infrastructure - Osiris",Applied,Indeed,"Austin, TX",,2/16/2025,,45137,FALSE,FALSE,
Lucid Motors,"Intern, SQA Data Analyst, Summer 2025",Rejected,greenhouse,"Newark, CA",,2/17/2025,,,FALSE,FALSE,
Hewlett Packard Enterprise,Data Science Intern,Rejected,Workday,"Spring, TX",,2/17/2025,,1177660,FALSE,FALSE,
Xometry,Data Science Intern,Applied,greenhouse,"Los Angeles, CA",,2/17/2025,,,FALSE,FALSE,
Chipotle,IT Personalization - Internship,Rejected,Workday,"Newport Beach, CA",,2/17/2025,,JR-2025-00119203,FALSE,FALSE,
Shipt,Data Science Intern - Marketplace Product,Applied,Ripplematch,"Birmingham, AL; San Francisco, CA; Minneapolis, MN",,2/17/2025,,,FALSE,FALSE,
Roblox,"[Summer 2025] People Analytics, Data Science Intern",Rejected,company website,"San Mateo, CA",,2/24/2025,,4687,FALSE,TRUE,
Applied Materials,"Summer 2025 Data Science Intern- Master's (Santa Clara, CA)",Rejected,company website,"Santa Clara, CA",,2/24/2025,,R2511478,FALSE,FALSE,
Juniper Networks,Strategy & Corporate Development – AI & Analytics Intern (Summer 2025),Rejected,Ripplematch,"Sunnyvale, CA",,2/26/2025,,,FALSE,FALSE,
Total Wine & More,Analytics Summer Internship Program,Rejected,Jobvite,"Bethesda, MD",,2/26/2025,,15675,FALSE,FALSE,
Four Hands,Data Analytics Intern,Applied,Pinpoint,"Austin, TX",,2/26/2025,,,FALSE,FALSE,
realtor.com,"Data Scientist, Product",Applied,greenhouse,"Austin, TX",,2/26/2025,,2348,FALSE,FALSE,
Haus.io,Data Scientist - Product Analytics,Applied,lever.co,Remote,,2/26/2025,,,FALSE,FALSE,
Texas Health & Human Services,Data Analyst,Applied,Success Factors,"Austin, TX",,3/13/2025,,3703,FALSE,FALSE,
Visa,"Data Engineer, Intern - Austin, TX",Rejected,smart recruiters,"Austin, TX",,3/19/2025,,REF83749S,FALSE,FALSE,
Texas Health & Human Services,Data Research Analyst (Data Analyst III),Applied,Success Factors,"Austin, TX",,3/19/2025,,4252,FALSE,FALSE,
City of Austin,IT Data Analyst,Must Apply,company website,"Austin, TX",,3/19/2025,,,FALSE,FALSE,
Google,"Machine Learning Analyst, Google Cloud Protection Analytics",Applied,Company website,"Seattle, WA",,3/19/2025,,,FALSE,FALSE,
Alo Yoga,Data Analytics MS Intern,Applied,greenhouse,"Beverly Hills, CA",,3/19/2025,,,FALSE,FALSE,
Notion,"Data Scientist, Growth",Rejected,greenhouse,"San Francisco, CA; New York, NY",,3/19/2025,,,FALSE,FALSE,
Block,Data Science Intern (Summer 2025),Applied,company website,"Oakland, CA; Remote",,3/25/2025,,R0002534,FALSE,FALSE,
Kaiser Permanente,Data Scientist Intern-Graduate,Applied,taleo,"Pleasanton, CA; Remote",,3/25/2025,,1339418,FALSE,FALSE,
HP,Personal Systems AI/Machine Learning Internship,Applied,workday,"Spring, TX; Palo Alto, CA; Boise, ID; Vancouver, WA; Austin, TX",,3/25/2025,,3142200,FALSE,FALSE,
UNT System,Data Scientist ,Rejected,Page Up,"Austin, TX",Literally forgot to do the references,3/25/2025,,,FALSE,FALSE,
Meta,"Data Scientist, Product Analytics",Applied,Company website,"Austin, TX",,3/26/2025,,,FALSE,FALSE,
DoorDash,"Data Scientist / Senior Data Scientist, Analytics",Applied,greenhouse,"San Francisco, CA; Seattle, WA; New York, NY; Los Angeles, CA; Chicago, IL; Austin, TX; Washington D.C.",,3/26/2025,,,FALSE,FALSE,
Texas Workforce Commission,Data Analyst (Austin),Applied,Taleo,"Austin, TX",,3/26/2025,,825673,FALSE,FALSE,
TikTok,Data Science Intern (TikTok-Product-Data Science-Interaction-US) - 2025 Project Intern (BS/MS),Applied,Company website,"San Jose, CA",,3/27/2025,,A223958A,FALSE,FALSE,
CSAA Insurance Group (AAA),Data Science Intern - Remote,Rejected,workday,Remote,,3/27/2025,,R7034,FALSE,FALSE,
Visa,Associate Data Science,Applied,smart recruiters,"Austin, TX",,3/28/2025,,,FALSE,FALSE,
Chime,Data Analytics Intern (Summer 2025),Applied,greenhouse,"San Francisco, CA",,3/29/2025,,,FALSE,FALSE,
Imprivata,Data Scientist,Rejected,Jobvite,"Waltham, MA; Austin, TX; St. Petersburg, FL",,3/29/2025,,,FALSE,FALSE,
